분류,분류.1,항목,단위,통계자료,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
자원관리관련서비스업,생물자원관리보전관련서비스업,환경부문 매출액,억원,원자료,"2,476.03",643.2,"2,429.2","2,919.21","3,048.49","3,112.84","3,115.96","3,119.17","3,146"
자원관리관련서비스업,산림관리관련서비스업,매출액,억원,원자료,0,"79,562.75","17,775.63","21,029.88","21,574.68","24,394.7","50,769.89","50,820.14","51,483.66"
자원관리관련서비스업,산림관리관련서비스업,환경부문 매출액,억원,원자료,0,"6,035.06","11,994.43","9,857.03","9,945.5","9,940.11","9,739.83","9,739.92","9,885.67"
자원관리관련서비스업,산림관리및유지서비스업,매출액,억원,원자료,0,"3,701.88","1,093.76","7,708.39","7,152.05","4,173.96","5,262.3","5,288.61","5,221.6"
자원관리관련서비스업,산림관리및유지서비스업,환경부문 매출액,억원,원자료,0,762.24,786.29,"4,888.44","4,521.25","4,173.96","4,182.31","4,190.7","4,169.04"
자원관리관련서비스업,생물다양성및경관보호관련서비스업,매출액,억원,원자료,0,"5,025.68","12,901.43","13,203.01","13,768.12","11,965.22","10,377.66","10,038.86","10,320.8"
자원관리관련서비스업,생물다양성및경관보호관련서비스업,환경부문 매출액,억원,원자료,0,"3,067.31","8,701.53","5,717.39","5,930.21","5,700.87","5,501.33","5,528.16","5,595.75"
자원관리관련서비스업,생물다양성및바이오관련서비스업,매출액,억원,원자료,0,"46,026.87","46,919.41","71,921.21","53,938.97","22,251.69","55,375.82","91,630.36","58,226.55"
자원관리관련서비스업,생물다양성및바이오관련서비스업,환경부문 매출액,억원,원자료,0,"14,518.22","14,507.82","14,313.26","12,396.64","7,490.38","12,734.88","16,278.8","11,703.15"
자원관리관련유통업,소계,매출액,억원,원자료,"96,903.6","92,249.96","42,483.45","50,180.81","45,928.04","47,198.43","64,815.74","76,029.62","78,794.39"
자원관리관련유통업,소계,환경부문 매출액,억원,원자료,"67,973.68","36,510.81","30,510.94","40,694.92","37,179.74","37,466.38","37,616.22","38,141.73","39,023.92"
자원관리관련유통업,재활용제품유통업,매출액,억원,원자료,"96,903.6","92,249.96","42,483.45","50,180.81","45,928.04","47,198.43","64,815.74","76,029.62","78,794.39"
자원관리관련유통업,재활용제품유통업,환경부문 매출액,억원,원자료,"67,973.68","36,510.81","30,510.94","40,694.92","37,179.74","37,466.38","37,616.22","38,141.73","39,023.92"
청정기술관련제조업,소계,매출액,억원,원자료,0,"587,607.38","1,040,575.46","457,081.66","472,404","439,126.74","452,528.33","462,055.23","461,819.76"
청정기술관련제조업,소계,환경부문 매출액,억원,원자료,0,"48,748.14","70,907.1","76,465.27","77,723.16","76,714.33","76,944.48","77,944.73","77,571.76"
청정기술관련제조업,열/에너지절약및회수기기제조업,매출액,억원,원자료,0,"587,607.38","1,040,575.46","457,081.66","472,404","439,126.74","452,528.33","462,055.23","461,819.76"
청정기술관련제조업,열/에너지절약및회수기기제조업,환경부문 매출액,억원,원자료,0,"48,748.14","70,907.1","76,465.27","77,723.16","76,714.33","76,944.48","77,944.73","77,571.76"
